廣韻韻部順序&廣韻韻部原貌(調整前),小韻序,上字,下字,中古拼音(polyhedron 版),廣韻字頭(覈校後),小韻內字序
上平01東,1,德,紅,tung,東,1
上平01東,1,德,紅,tung,菄,2
上平01東,1,德,紅,tung,鶇,3
上平01東,1,德,紅,tung,䍶,4
上平01東,1,德,紅,tung,𠍀,5
上平01東,1,德,紅,tung,倲,6
上平01東,1,德,紅,tung,𩜍,7
上平01東,1,德,紅,tung,𢘐,8
上平01東,1,德,紅,tung,涷,9
上平01東,1,德,紅,tung,蝀,10
上平01東,1,德,紅,tung,凍,11
上平01東,1,德,紅,tung,鯟,12
上平01東,1,德,紅,tung,𢔅,13
上平01東,1,德,紅,tung,崠,14
上平01東,1,德,紅,tung,埬,15
上平01東,1,德,紅,tung,𧓕,16
上平01東,1,德,紅,tung,䰤,17
上平01東,2,徒,紅,dung,同,1
上平01東,2,徒,紅,dung,仝,2
上平01東,2,徒,紅,dung,童,3
上平01東,2,徒,紅,dung,僮,4
上平01東,2,徒,紅,dung,銅,5
上平01東,2,徒,紅,dung,桐,6
上平01東,2,徒,紅,dung,峒,7
上平01東,2,徒,紅,dung,硐,8
上平01東,2,徒,紅,dung,𦨴,9
上平01東,2,徒,紅,dung,𧱁,10
上平01東,2,徒,紅,dung,筒,11
上平01東,2,徒,紅,dung,瞳,12
上平01東,2,徒,紅,dung,㼧,13
上平01東,2,徒,紅,dung,𤭁,14
上平01東,2,徒,紅,dung,罿,15
上平01東,2,徒,紅,dung,犝,16
上平01東,2,徒,紅,dung,筩,17
上平01東,2,徒,紅,dung,潼,18
上平01東,2,徒,紅,dung,曈,19
上平01東,2,徒,紅,dung,洞,20
上平01東,2,徒,紅,dung,侗,21
上平01東,2,徒,紅,dung,橦,22
上平01東,2,徒,紅,dung,烔,23
上平01東,2,徒,紅,dung,䴀,24
上平01東,2,徒,紅,dung,挏,25
上平01東,2,徒,紅,dung,酮,26
上平01東,2,徒,紅,dung,鮦,27
上平01東,2,徒,紅,dung,㼿,28
上平01東,2,徒,紅,dung,𦏆,29
上平01東,2,徒,紅,dung,𦍻,30
上平01東,2,徒,紅,dung,眮,31
上平01東,2,徒,紅,dung,蕫,32
上平01東,2,徒,紅,dung,穜,33
上平01東,2,徒,紅,dung,衕,34
上平01東,2,徒,紅,dung,𩍅,35
上平01東,2,徒,紅,dung,𢈉,36
上平01東,2,徒,紅,dung,䆚,37
上平01東,2,徒,紅,dung,哃,38
上平01東,2,徒,紅,dung,𢏕,39
上平01東,2,徒,紅,dung,絧,40
上平01東,2,徒,紅,dung,𨚯,41
上平01東,2,徒,紅,dung,𨝯,42
上平01東,2,徒,紅,dung,𪔜,43
上平01東,2,徒,紅,dung,𩦶,44
上平01東,2,徒,紅,dung,𪒿,45
上平01東,3,陟,弓,triung,中,1
上平01東,3,陟,弓,triung,衷,2
上平01東,3,陟,弓,triung,忠,3
上平01東,3,陟,弓,triung,𦬕,4
上平01東,4,直,弓,driung,蟲,1
上平01東,4,直,弓,driung,沖,2
上平01東,4,直,弓,driung,种,3
上平01東,4,直,弓,driung,盅,4
上平01東,4,直,弓,driung,爞,5
上平01東,4,直,弓,driung,𦬕,6
上平01東,4,直,弓,driung,翀,7
上平01東,5,職,戎,cjung,終,1
上平01東,5,職,戎,cjung,眾,2
上平01東,5,職,戎,cjung,潀,3
上平01東,5,職,戎,cjung,𣧩,4
上平01東,5,職,戎,cjung,螽,5
上平01東,5,職,戎,cjung,𧑄,6
上平01東,5,職,戎,cjung,鼨,7
上平01東,5,職,戎,cjung,蔠,8
上平01東,5,職,戎,cjung,柊,9
上平01東,5,職,戎,cjung,𩅧,10
上平01東,5,職,戎,cjung,䶱,11
上平01東,5,職,戎,cjung,鴤,12
上平01東,5,職,戎,cjung,䈺,13
上平01東,5,職,戎,cjung,泈,14
上平01東,5,職,戎,cjung,䝦,15
上平01東,6,敕,中,thriung,忡,1
上平01東,6,敕,中,thriung,浺,2
上平01東,6,敕,中,thriung,盅,3
上平01東,7,鋤,弓,zriung,崇,1
上平01東,7,鋤,弓,zriung,崈,2
上平01東,7,鋤,弓,zriung,㓽,3
上平01東,7,鋤,弓,zriung,𩞉,4
上平01東,8,息,弓,siung,嵩,1
上平01東,8,息,弓,siung,崧,2
上平01東,8,息,弓,siung,𪀚,3
上平01東,8,息,弓,siung,娀,4
上平01東,8,息,弓,siung,菘,5
上平01東,8,息,弓,siung,硹,6
上平01東,8,息,弓,siung,㣝,7
上平01東,8,息,弓,siung,𧊕,8
上平01東,8,息,弓,siung,䯷,9
上平01東,9,如,融,njung,戎,1
上平01東,9,如,融,njung,𢦦,2
上平01東,9,如,融,njung,茙,3
上平01東,9,如,融,njung,㭜,4
上平01東,9,如,融,njung,駥,5
上平01東,9,如,融,njung,𥬪,6
上平01東,9,如,融,njung,𠈋,7
上平01東,9,如,融,njung,狨,8
上平01東,9,如,融,njung,絨,9
上平01東,10,居,戎,kiung,弓,1
上平01東,10,居,戎,kiung,躳,2
上平01東,10,居,戎,kiung,躬,3
上平01東,10,居,戎,kiung,㴦,4
上平01東,10,居,戎,kiung,宮,5
上平01東,10,居,戎,kiung,匑,6
上平01東,11,以,戎,jung,融,1
上平01東,11,以,戎,jung,肜,2
上平01東,11,以,戎,jung,瀜,3
上平01東,12,羽,弓,iung,雄,1
上平01東,12,羽,弓,iung,熊,2
上平01東,13,莫,中,miung,瞢,1
上平01東,13,莫,中,miung,夢,2
上平01東,13,莫,中,miung,鄸,3
上平01東,13,莫,中,miung,懜,4
上平01東,13,莫,中,miung,𦫰,5
上平01東,13,莫,中,miung,𧲎,6
上平01東,14,去,宮,khiung,穹,1
上平01東,14,去,宮,khiung,𢞏,2
上平01東,14,去,宮,khiung,焪,3
上平01東,14,去,宮,khiung,芎,4
上平01東,14,去,宮,khiung,𦵡,5
上平01東,14,去,宮,khiung,匑,6
